eff_size_f	sample_size
0.100000	860.726	
0.110000	712.311	
0.120000	599.430	
0.130000	511.583	
0.140000	441.881	
0.150000	385.650	
0.160000	339.630	
0.170000	301.491	
0.180000	269.531	
0.190000	242.485	
0.200000	219.395	
0.210000	199.525	
0.220000	182.304	
0.230000	167.281	
0.240000	154.097	
0.250000	142.465	
0.260000	132.151	
0.270000	122.962	
0.280000	114.741	
0.290000	107.357	
0.300000	100.700	
0.310000	94.6782	
0.320000	89.2131	
0.330000	84.2384	
0.340000	79.6972	
0.350000	75.5408	
0.360000	71.7270	
0.370000	68.2194	
0.380000	64.9861	
0.390000	61.9993	
0.400000	59.2348	
0.410000	56.6712	
0.420000	54.2895	
0.430000	52.0731	
0.440000	50.0070	
0.450000	48.0782	
0.460000	46.2748	
0.470000	44.5862	
0.480000	43.0030	
0.490000	41.5167	
0.500000	40.1196	
