eff_size_f	sample_size
0.100000	1547.32	
0.110000	1279.30	
0.120000	1075.45	
0.130000	916.804	
0.140000	790.925	
0.150000	689.372	
0.160000	606.259	
0.170000	537.377	
0.180000	479.654	
0.190000	430.803	
0.200000	389.095	
0.210000	353.203	
0.220000	322.093	
0.230000	294.952	
0.240000	271.134	
0.250000	250.116	
0.260000	231.477	
0.270000	214.870	
0.280000	200.011	
0.290000	186.663	
0.300000	174.628	
0.310000	163.739	
0.320000	153.855	
0.330000	144.856	
0.340000	136.640	
0.350000	129.119	
0.360000	122.215	
0.370000	115.864	
0.380000	110.009	
0.390000	104.598	
0.400000	99.5883	
0.410000	94.9410	
0.420000	90.6220	
0.430000	86.6012	
0.440000	82.8518	
0.450000	79.3498	
0.460000	76.0741	
0.470000	73.0055	
0.480000	70.1271	
0.490000	67.4235	
0.500000	64.8807	
