eff_size_f	sample_size
0.100000	590.591	
0.110000	488.428	
0.120000	410.724	
0.130000	350.253	
0.140000	302.272	
0.150000	263.563	
0.160000	231.884	
0.170000	205.629	
0.180000	183.627	
0.190000	165.008	
0.200000	149.111	
0.210000	135.432	
0.220000	123.575	
0.230000	113.232	
0.240000	104.155	
0.250000	96.1453	
0.260000	89.0426	
0.270000	82.7149	
0.280000	77.0534	
0.290000	71.9679	
0.300000	67.3828	
0.310000	63.2348	
0.320000	59.4699	
0.330000	56.0426	
0.340000	52.9137	
0.350000	50.0495	
0.360000	47.4212	
0.370000	45.0035	
0.380000	42.7746	
0.390000	40.7155	
0.400000	38.8092	
0.410000	37.0412	
0.420000	35.3984	
0.430000	33.8694	
0.440000	32.4438	
0.450000	31.1127	
0.460000	29.8679	
0.470000	28.7021	
0.480000	27.6089	
0.490000	26.5823	
0.500000	25.6172	
