eff_size_f	sample_size
0.100000	581.088	
0.110000	480.762	
0.120000	404.456	
0.130000	345.073	
0.140000	297.956	
0.150000	259.944	
0.160000	228.835	
0.170000	203.054	
0.180000	181.450	
0.190000	163.167	
0.200000	147.558	
0.210000	134.126	
0.220000	122.484	
0.230000	112.329	
0.240000	103.417	
0.250000	95.5534	
0.260000	88.5805	
0.270000	82.3687	
0.280000	76.8113	
0.290000	71.8195	
0.300000	67.3193	
0.310000	63.2483	
0.320000	59.5537	
0.330000	56.1905	
0.340000	53.1205	
0.350000	50.3105	
0.360000	47.7322	
0.370000	45.3608	
0.380000	43.1748	
0.390000	41.1555	
0.400000	39.2865	
0.410000	37.5533	
0.420000	35.9430	
0.430000	34.4445	
0.440000	33.0477	
0.450000	31.7436	
0.460000	30.5243	
0.470000	29.3827	
0.480000	28.3123	
0.490000	27.3074	
0.500000	26.3628	
