eff_size_f	sample_size
0.100000	730.757	
0.110000	604.614	
0.120000	508.673	
0.130000	434.009	
0.140000	374.766	
0.150000	326.973	
0.160000	287.858	
0.170000	255.442	
0.180000	228.278	
0.190000	205.290	
0.200000	185.664	
0.210000	168.775	
0.220000	154.137	
0.230000	141.367	
0.240000	130.161	
0.250000	120.274	
0.260000	111.506	
0.270000	103.695	
0.280000	96.7068	
0.290000	90.4297	
0.300000	84.7707	
0.310000	79.6512	
0.320000	75.0050	
0.330000	70.7755	
0.340000	66.9145	
0.350000	63.3805	
0.360000	60.1377	
0.370000	57.1550	
0.380000	54.4055	
0.390000	51.8656	
0.400000	49.5145	
0.410000	47.3341	
0.420000	45.3084	
0.430000	43.4231	
0.440000	41.6656	
0.450000	40.0247	
0.460000	38.4904	
0.470000	37.0537	
0.480000	35.7065	
0.490000	34.4418	
0.500000	33.2528	
