eff_size_f	sample_size
0.100000	605.174	
0.110000	500.667	
0.120000	421.182	
0.130000	359.325	
0.140000	310.244	
0.150000	270.649	
0.160000	238.243	
0.170000	211.387	
0.180000	188.883	
0.190000	169.837	
0.200000	153.578	
0.210000	139.586	
0.220000	127.459	
0.230000	116.880	
0.240000	107.596	
0.250000	99.4047	
0.260000	92.1409	
0.270000	85.6699	
0.280000	79.8804	
0.290000	74.6802	
0.300000	69.9920	
0.310000	65.7509	
0.320000	61.9018	
0.330000	58.3980	
0.340000	55.1995	
0.350000	52.2720	
0.360000	49.5857	
0.370000	47.1149	
0.380000	44.8373	
0.390000	42.7333	
0.400000	40.7858	
0.410000	38.9798	
0.420000	37.3018	
0.430000	35.7403	
0.440000	34.2846	
0.450000	32.9256	
0.460000	31.6548	
0.470000	30.4650	
0.480000	29.3493	
0.490000	28.3019	
0.500000	27.3173	
