eff_size_f	sample_size
0.100000	800.444	
0.110000	662.353	
0.120000	557.324	
0.130000	475.588	
0.140000	410.734	
0.150000	358.414	
0.160000	315.595	
0.170000	280.108	
0.180000	250.372	
0.190000	225.206	
0.200000	203.722	
0.210000	185.233	
0.220000	169.210	
0.230000	155.231	
0.240000	142.964	
0.250000	132.141	
0.260000	122.543	
0.270000	113.993	
0.280000	106.343	
0.290000	99.4720	
0.300000	93.2776	
0.310000	87.6739	
0.320000	82.5882	
0.330000	77.9588	
0.340000	73.7328	
0.350000	69.8648	
0.360000	66.3155	
0.370000	63.0511	
0.380000	60.0419	
0.390000	57.2621	
0.400000	54.6891	
0.410000	52.3029	
0.420000	50.0861	
0.430000	48.0230	
0.440000	46.0998	
0.450000	44.3043	
0.460000	42.6254	
0.470000	41.0535	
0.480000	39.5795	
0.490000	38.1957	
0.500000	36.8949	
