eff_size_f	sample_size
0.100000	1861.92	
0.110000	1539.60	
0.120000	1294.45	
0.130000	1103.67	
0.140000	952.291	
0.150000	830.167	
0.160000	730.217	
0.170000	647.382	
0.180000	577.966	
0.190000	519.220	
0.200000	469.064	
0.210000	425.901	
0.220000	388.490	
0.230000	355.853	
0.240000	327.210	
0.250000	301.935	
0.260000	279.521	
0.270000	259.551	
0.280000	241.683	
0.290000	225.632	
0.300000	211.160	
0.310000	198.066	
0.320000	186.180	
0.330000	175.360	
0.340000	165.480	
0.350000	156.436	
0.360000	148.135	
0.370000	140.499	
0.380000	133.458	
0.390000	126.953	
0.400000	120.929	
0.410000	115.342	
0.420000	110.149	
0.430000	105.315	
0.440000	100.808	
0.450000	96.5975	
0.460000	92.6595	
0.470000	88.9707	
0.480000	85.5106	
0.490000	82.2606	
0.500000	79.2042	
