eff_size_f	sample_size
0.100000	198.151	
0.110000	164.098	
0.120000	138.198	
0.130000	118.043	
0.140000	102.050	
0.150000	89.1494	
0.160000	78.5914	
0.170000	69.8418	
0.180000	62.5101	
0.190000	56.3059	
0.200000	51.0094	
0.210000	46.4520	
0.220000	42.5024	
0.230000	39.0572	
0.240000	36.0342	
0.250000	33.3671	
0.260000	31.0024	
0.270000	28.8961	
0.280000	27.0119	
0.290000	25.3198	
0.300000	23.7945	
0.310000	22.4150	
0.320000	21.1632	
0.330000	20.0240	
0.340000	18.9843	
0.350000	18.0328	
0.360000	17.1600	
0.370000	16.3575	
0.380000	15.6179	
0.390000	14.9348	
0.400000	14.3028	
0.410000	13.7168	
0.420000	13.1725	
0.430000	12.6662	
0.440000	12.1943	
0.450000	11.7538	
0.460000	11.3422	
0.470000	10.9568	
0.480000	10.5955	
0.490000	10.2565	
0.500000	9.93785	
