eff_size_f	sample_size
0.100000	108.007	
0.110000	89.4554	
0.120000	75.3456	
0.130000	64.3650	
0.140000	55.6525	
0.150000	48.6240	
0.160000	42.8718	
0.170000	38.1048	
0.180000	34.1103	
0.190000	30.7299	
0.200000	27.8440	
0.210000	25.3607	
0.220000	23.2085	
0.230000	21.3310	
0.240000	19.6836	
0.250000	18.2300	
0.260000	16.9412	
0.270000	15.7931	
0.280000	14.7660	
0.290000	13.8435	
0.300000	13.0119	
0.310000	12.2597	
0.320000	11.5771	
0.330000	10.9558	
0.340000	10.3887	
0.350000	9.86964	
0.360000	9.39345	
0.370000	8.95552	
0.380000	8.55189	
0.390000	8.17907	
0.400000	7.83403	
0.410000	7.51409	
0.420000	7.21689	
0.430000	6.94034	
0.440000	6.68258	
0.450000	6.44197	
0.460000	6.21701	
0.470000	6.00641	
0.480000	5.80896	
0.490000	5.62362	
0.500000	5.44941	
