eff_size_f	sample_size
0.100000	645.318	
0.110000	533.844	
0.120000	449.060	
0.130000	383.078	
0.140000	330.725	
0.150000	288.489	
0.160000	253.923	
0.170000	225.276	
0.180000	201.271	
0.190000	180.956	
0.200000	163.611	
0.210000	148.686	
0.220000	135.750	
0.230000	124.465	
0.240000	114.562	
0.250000	105.824	
0.260000	98.0753	
0.270000	91.1722	
0.280000	84.9961	
0.290000	79.4486	
0.300000	74.4471	
0.310000	69.9225	
0.320000	65.8161	
0.330000	62.0779	
0.340000	58.6654	
0.350000	55.5418	
0.360000	52.6756	
0.370000	50.0393	
0.380000	47.6090	
0.390000	45.3638	
0.400000	43.2856	
0.410000	41.3583	
0.420000	39.5675	
0.430000	37.9009	
0.440000	36.3473	
0.450000	34.8966	
0.460000	33.5402	
0.470000	32.2700	
0.480000	31.0790	
0.490000	29.9608	
0.500000	28.9095	
