eff_size_f	sample_size
0.100000	700.985	
0.110000	580.156	
0.120000	488.257	
0.130000	416.739	
0.140000	359.992	
0.150000	314.214	
0.160000	276.748	
0.170000	245.699	
0.180000	219.680	
0.190000	197.662	
0.200000	178.864	
0.210000	162.689	
0.220000	148.669	
0.230000	136.440	
0.240000	125.708	
0.250000	116.239	
0.260000	107.843	
0.270000	100.363	
0.280000	93.6717	
0.290000	87.6616	
0.300000	82.2435	
0.310000	77.3423	
0.320000	72.8944	
0.330000	68.8459	
0.340000	65.1503	
0.350000	61.7681	
0.360000	58.6648	
0.370000	55.8107	
0.380000	53.1801	
0.390000	50.7502	
0.400000	48.5012	
0.410000	46.4158	
0.420000	44.4786	
0.430000	42.6759	
0.440000	40.9957	
0.450000	39.4273	
0.460000	37.9609	
0.470000	36.5880	
0.480000	35.3010	
0.490000	34.0928	
0.500000	32.9573	
