eff_size_f	sample_size
0.100000	658.074	
0.110000	544.546	
0.120000	458.200	
0.130000	391.003	
0.140000	337.685	
0.150000	294.672	
0.160000	259.470	
0.170000	230.296	
0.180000	205.849	
0.190000	185.160	
0.200000	167.498	
0.210000	152.299	
0.220000	139.126	
0.230000	127.634	
0.240000	117.550	
0.250000	108.652	
0.260000	100.763	
0.270000	93.7339	
0.280000	87.4457	
0.290000	81.7976	
0.300000	76.7058	
0.310000	72.0997	
0.320000	67.9195	
0.330000	64.1144	
0.340000	60.6410	
0.350000	57.4619	
0.360000	54.5449	
0.370000	51.8621	
0.380000	49.3891	
0.390000	47.1048	
0.400000	44.9905	
0.410000	43.0298	
0.420000	41.2083	
0.430000	39.5133	
0.440000	37.9333	
0.450000	36.4582	
0.460000	35.0791	
0.470000	33.7879	
0.480000	32.5773	
0.490000	31.4408	
0.500000	30.3725	
