eff_size_f	sample_size
0.100000	807.278	
0.110000	668.140	
0.120000	562.315	
0.130000	479.959	
0.140000	414.614	
0.150000	361.898	
0.160000	318.755	
0.170000	283.000	
0.180000	253.039	
0.190000	227.683	
0.200000	206.037	
0.210000	187.410	
0.220000	171.266	
0.230000	157.183	
0.240000	144.824	
0.250000	133.920	
0.260000	124.251	
0.270000	115.638	
0.280000	107.932	
0.290000	101.010	
0.300000	94.7707	
0.310000	89.1263	
0.320000	84.0040	
0.330000	79.3414	
0.340000	75.0853	
0.350000	71.1900	
0.360000	67.6159	
0.370000	64.3288	
0.380000	61.2989	
0.390000	58.5002	
0.400000	55.9098	
0.410000	53.5078	
0.420000	51.2764	
0.430000	49.1999	
0.440000	47.2644	
0.450000	45.4576	
0.460000	43.7684	
0.470000	42.1868	
0.480000	40.7040	
0.490000	39.3121	
0.500000	38.0038	
