eff_size_f	sample_size
0.100000	725.606	
0.110000	600.197	
0.120000	504.815	
0.130000	430.585	
0.140000	371.686	
0.150000	324.171	
0.160000	285.283	
0.170000	253.055	
0.180000	226.048	
0.190000	203.193	
0.200000	183.680	
0.210000	166.888	
0.220000	152.334	
0.230000	139.637	
0.240000	128.495	
0.250000	118.664	
0.260000	109.946	
0.270000	102.178	
0.280000	95.2292	
0.290000	88.9869	
0.300000	83.3590	
0.310000	78.2676	
0.320000	73.6465	
0.330000	69.4398	
0.340000	65.5993	
0.350000	62.0839	
0.360000	58.8580	
0.370000	55.8906	
0.380000	53.1550	
0.390000	50.6277	
0.400000	48.2882	
0.410000	46.1183	
0.420000	44.1021	
0.430000	42.2255	
0.440000	40.4760	
0.450000	38.8424	
0.460000	37.3147	
0.470000	35.8840	
0.480000	34.5424	
0.490000	33.2826	
0.500000	32.0981	
