eff_size_f	sample_size
0.100000	1301.39	
0.110000	1075.87	
0.120000	904.336	
0.130000	770.844	
0.140000	664.922	
0.150000	579.470	
0.160000	509.535	
0.170000	451.574	
0.180000	403.002	
0.190000	361.896	
0.200000	326.801	
0.210000	296.599	
0.220000	270.422	
0.230000	247.584	
0.240000	227.542	
0.250000	209.856	
0.260000	194.172	
0.270000	180.198	
0.280000	167.694	
0.290000	156.462	
0.300000	146.335	
0.310000	137.172	
0.320000	128.855	
0.330000	121.282	
0.340000	114.368	
0.350000	108.039	
0.360000	102.230	
0.370000	96.8852	
0.380000	91.9575	
0.390000	87.4041	
0.400000	83.1883	
0.410000	79.2773	
0.420000	75.6426	
0.430000	72.2588	
0.440000	69.1033	
0.450000	66.1561	
0.460000	63.3992	
0.470000	60.8167	
0.480000	58.3941	
0.490000	56.1185	
0.500000	53.9784	
