eff_size_f	sample_size
0.100000	459.779	
0.110000	380.319	
0.120000	319.884	
0.130000	272.851	
0.140000	235.533	
0.150000	205.427	
0.160000	180.789	
0.170000	160.369	
0.180000	143.258	
0.190000	128.777	
0.200000	116.415	
0.210000	105.776	
0.220000	96.5560	
0.230000	88.5125	
0.240000	81.4539	
0.250000	75.2259	
0.260000	69.7031	
0.270000	64.7832	
0.280000	60.3815	
0.290000	56.4278	
0.300000	52.8634	
0.310000	49.6390	
0.320000	46.7127	
0.330000	44.0489	
0.340000	41.6173	
0.350000	39.3917	
0.360000	37.3496	
0.370000	35.4713	
0.380000	33.7400	
0.390000	32.1407	
0.400000	30.6604	
0.410000	29.2876	
0.420000	28.0123	
0.430000	26.8255	
0.440000	25.7192	
0.450000	24.6865	
0.460000	23.7208	
0.470000	22.8168	
0.480000	21.9691	
0.490000	21.1734	
0.500000	20.4255	
