eff_size_f	sample_size
0.100000	753.831	
0.110000	623.969	
0.120000	525.200	
0.130000	448.335	
0.140000	387.346	
0.150000	338.146	
0.160000	297.879	
0.170000	264.509	
0.180000	236.546	
0.190000	212.882	
0.200000	192.680	
0.210000	175.295	
0.220000	160.229	
0.230000	147.085	
0.240000	135.552	
0.250000	125.376	
0.260000	116.353	
0.270000	108.315	
0.280000	101.124	
0.290000	94.6650	
0.300000	88.8426	
0.310000	83.5758	
0.320000	78.7963	
0.330000	74.4460	
0.340000	70.4750	
0.350000	66.8408	
0.360000	63.5064	
0.370000	60.4399	
0.380000	57.6136	
0.390000	55.0030	
0.400000	52.5869	
0.410000	50.3465	
0.420000	48.2655	
0.430000	46.3290	
0.440000	44.5242	
0.450000	42.8394	
0.460000	41.2644	
0.470000	39.7899	
0.480000	38.4077	
0.490000	37.1102	
0.500000	35.8908	
