eff_size_f	sample_size
0.100000	967.621	
0.110000	800.653	
0.120000	673.661	
0.130000	574.833	
0.140000	496.417	
0.150000	433.155	
0.160000	381.382	
0.170000	338.474	
0.180000	302.518	
0.190000	272.090	
0.200000	246.112	
0.210000	223.757	
0.220000	204.381	
0.230000	187.479	
0.240000	172.646	
0.250000	159.558	
0.260000	147.952	
0.270000	137.612	
0.280000	128.362	
0.290000	120.053	
0.300000	112.562	
0.310000	105.785	
0.320000	99.6346	
0.330000	94.0358	
0.340000	88.9247	
0.350000	84.2463	
0.360000	79.9535	
0.370000	76.0049	
0.380000	72.3649	
0.390000	69.0023	
0.400000	65.8897	
0.410000	63.0030	
0.420000	60.3209	
0.430000	57.8248	
0.440000	55.4978	
0.450000	53.3251	
0.460000	51.2935	
0.470000	49.3910	
0.480000	47.6072	
0.490000	45.9322	
0.500000	44.3577	
