eff_size_f	sample_size
0.100000	639.904	
0.110000	529.529	
0.120000	445.582	
0.130000	380.251	
0.140000	328.415	
0.150000	286.597	
0.160000	252.373	
0.170000	224.009	
0.180000	200.242	
0.190000	180.128	
0.200000	162.956	
0.210000	148.180	
0.220000	135.373	
0.230000	124.201	
0.240000	114.397	
0.250000	105.747	
0.260000	98.0770	
0.270000	91.2439	
0.280000	85.1308	
0.290000	79.6400	
0.300000	74.6900	
0.310000	70.2122	
0.320000	66.1485	
0.330000	62.4496	
0.340000	59.0731	
0.350000	55.9827	
0.360000	53.1472	
0.370000	50.5394	
0.380000	48.1356	
0.390000	45.9152	
0.400000	43.8601	
0.410000	41.9544	
0.420000	40.1840	
0.430000	38.5365	
0.440000	37.0009	
0.450000	35.5674	
0.460000	34.2271	
0.470000	32.9722	
0.480000	31.7958	
0.490000	30.6914	
0.500000	29.6533	
