eff_size_f	sample_size
0.100000	137.588	
0.110000	113.937	
0.120000	95.9482	
0.130000	81.9491	
0.140000	70.8415	
0.150000	61.8807	
0.160000	54.5472	
0.170000	48.4697	
0.180000	43.3769	
0.190000	39.0671	
0.200000	35.3878	
0.210000	32.2217	
0.220000	29.4777	
0.230000	27.0840	
0.240000	24.9835	
0.250000	23.1302	
0.260000	21.4869	
0.270000	20.0230	
0.280000	18.7134	
0.290000	17.5371	
0.300000	16.4767	
0.310000	15.5175	
0.320000	14.6470	
0.330000	13.8547	
0.340000	13.1315	
0.350000	12.4696	
0.360000	11.8622	
0.370000	11.3037	
0.380000	10.7888	
0.390000	10.3133	
0.400000	9.87315	
0.410000	9.46500	
0.420000	9.08583	
0.430000	8.73299	
0.440000	8.40410	
0.450000	8.09706	
0.460000	7.80999	
0.470000	7.54120	
0.480000	7.28918	
0.490000	7.05259	
0.500000	6.83020	
