eff_size_f	sample_size
0.100000	720.877	
0.110000	596.595	
0.120000	502.070	
0.130000	428.508	
0.140000	370.141	
0.150000	323.054	
0.160000	284.517	
0.170000	252.581	
0.180000	225.818	
0.190000	203.171	
0.200000	183.836	
0.210000	167.197	
0.220000	152.777	
0.230000	140.198	
0.240000	129.159	
0.250000	119.419	
0.260000	110.783	
0.270000	103.089	
0.280000	96.2057	
0.290000	90.0233	
0.300000	84.4499	
0.310000	79.4082	
0.320000	74.8328	
0.330000	70.6680	
0.340000	66.8664	
0.350000	63.3869	
0.360000	60.1944	
0.370000	57.2583	
0.380000	54.5519	
0.390000	52.0520	
0.400000	49.7382	
0.410000	47.5927	
0.420000	45.5995	
0.430000	43.7447	
0.440000	42.0159	
0.450000	40.4020	
0.460000	38.8931	
0.470000	37.4804	
0.480000	36.1559	
0.490000	34.9126	
0.500000	33.7440	
