eff_size_f	sample_size
0.100000	565.030	
0.110000	467.491	
0.120000	393.305	
0.130000	335.572	
0.140000	289.764	
0.150000	252.808	
0.160000	222.564	
0.170000	197.499	
0.180000	176.495	
0.190000	158.720	
0.200000	143.544	
0.210000	130.486	
0.220000	119.168	
0.230000	109.295	
0.240000	100.631	
0.250000	92.9859	
0.260000	86.2071	
0.270000	80.1681	
0.280000	74.7654	
0.290000	69.9126	
0.300000	65.5377	
0.310000	61.5801	
0.320000	57.9884	
0.330000	54.7190	
0.340000	51.7346	
0.350000	49.0031	
0.360000	46.4967	
0.370000	44.1916	
0.380000	42.0667	
0.390000	40.1040	
0.400000	38.2873	
0.410000	36.6026	
0.420000	35.0375	
0.430000	33.5810	
0.440000	32.2234	
0.450000	30.9560	
0.460000	29.7710	
0.470000	28.6615	
0.480000	27.6213	
0.490000	26.6447	
0.500000	25.7269	
