eff_size_f	sample_size
0.100000	775.210	
0.110000	641.637	
0.120000	540.046	
0.130000	460.984	
0.140000	398.253	
0.150000	347.646	
0.160000	306.229	
0.170000	271.906	
0.180000	243.143	
0.190000	218.803	
0.200000	198.023	
0.210000	180.141	
0.220000	164.643	
0.230000	151.124	
0.240000	139.261	
0.250000	128.794	
0.260000	119.512	
0.270000	111.244	
0.280000	103.847	
0.290000	97.2030	
0.300000	91.2137	
0.310000	85.7959	
0.320000	80.8792	
0.330000	76.4039	
0.340000	72.3189	
0.350000	68.5803	
0.360000	65.1500	
0.370000	61.9952	
0.380000	59.0874	
0.390000	56.4016	
0.400000	53.9158	
0.410000	51.6108	
0.420000	49.4695	
0.430000	47.4771	
0.440000	45.6200	
0.450000	43.8864	
0.460000	42.2657	
0.470000	40.7483	
0.480000	39.3259	
0.490000	37.9906	
0.500000	36.7356	
