eff_size_f	sample_size
0.100000	1720.90	
0.110000	1422.91	
0.120000	1196.27	
0.130000	1019.89	
0.140000	879.934	
0.150000	767.027	
0.160000	674.622	
0.170000	598.038	
0.180000	533.862	
0.190000	479.549	
0.200000	433.178	
0.210000	393.273	
0.220000	358.686	
0.230000	328.511	
0.240000	302.030	
0.250000	278.662	
0.260000	257.939	
0.270000	239.477	
0.280000	222.957	
0.290000	208.117	
0.300000	194.737	
0.310000	182.630	
0.320000	171.642	
0.330000	161.637	
0.340000	152.503	
0.350000	144.141	
0.360000	136.466	
0.370000	129.406	
0.380000	122.896	
0.390000	116.881	
0.400000	111.312	
0.410000	106.145	
0.420000	101.344	
0.430000	96.8744	
0.440000	92.7063	
0.450000	88.8134	
0.460000	85.1721	
0.470000	81.7611	
0.480000	78.5615	
0.490000	75.5562	
0.500000	72.7298	
