eff_size_f	sample_size
0.100000	899.903	
0.110000	744.550	
0.120000	626.392	
0.130000	534.438	
0.140000	461.476	
0.150000	402.615	
0.160000	354.443	
0.170000	314.519	
0.180000	281.064	
0.190000	252.752	
0.200000	228.581	
0.210000	207.780	
0.220000	189.752	
0.230000	174.025	
0.240000	160.223	
0.250000	148.045	
0.260000	137.246	
0.270000	127.625	
0.280000	119.018	
0.290000	111.286	
0.300000	104.315	
0.310000	98.0094	
0.320000	92.2861	
0.330000	87.0760	
0.340000	82.3198	
0.350000	77.9662	
0.360000	73.9713	
0.370000	70.2966	
0.380000	66.9091	
0.390000	63.7797	
0.400000	60.8828	
0.410000	58.1962	
0.420000	55.7000	
0.430000	53.3766	
0.440000	51.2107	
0.450000	49.1884	
0.460000	47.2973	
0.470000	45.5264	
0.480000	43.8658	
0.490000	42.3066	
0.500000	40.8407	
