eff_size_f	sample_size
0.100000	750.714	
0.110000	621.254	
0.120000	522.790	
0.130000	446.163	
0.140000	385.363	
0.150000	336.314	
0.160000	296.171	
0.170000	262.903	
0.180000	235.026	
0.190000	211.434	
0.200000	191.293	
0.210000	173.961	
0.220000	158.939	
0.230000	145.835	
0.240000	134.336	
0.250000	124.190	
0.260000	115.192	
0.270000	107.178	
0.280000	100.007	
0.290000	93.5663	
0.300000	87.7600	
0.310000	82.5075	
0.320000	77.7407	
0.330000	73.4017	
0.340000	69.4409	
0.350000	65.8157	
0.360000	62.4894	
0.370000	59.4301	
0.380000	56.6101	
0.390000	54.0053	
0.400000	51.5943	
0.410000	49.3585	
0.420000	47.2814	
0.430000	45.3485	
0.440000	43.5468	
0.450000	41.8647	
0.460000	40.2921	
0.470000	38.8196	
0.480000	37.4391	
0.490000	36.1431	
0.500000	34.9249	
