eff_size_f	sample_size
0.100000	685.330	
0.110000	567.072	
0.120000	477.127	
0.130000	407.130	
0.140000	351.590	
0.150000	306.785	
0.160000	270.115	
0.170000	239.726	
0.180000	214.260	
0.190000	192.709	
0.200000	174.310	
0.210000	158.477	
0.220000	144.755	
0.230000	132.784	
0.240000	122.279	
0.250000	113.010	
0.260000	104.791	
0.270000	97.4691	
0.280000	90.9184	
0.290000	85.0344	
0.300000	79.7299	
0.310000	74.9312	
0.320000	70.5762	
0.330000	66.6120	
0.340000	62.9932	
0.350000	59.6810	
0.360000	56.6418	
0.370000	53.8465	
0.380000	51.2699	
0.390000	48.8897	
0.400000	46.6865	
0.410000	44.6435	
0.420000	42.7454	
0.430000	40.9790	
0.440000	39.3324	
0.450000	37.7951	
0.460000	36.3578	
0.470000	35.0120	
0.480000	33.7502	
0.490000	32.5656	
0.500000	31.4520	
