eff_size_f	sample_size
0.100000	525.185	
0.110000	434.373	
0.120000	365.304	
0.130000	311.552	
0.140000	268.902	
0.150000	234.495	
0.160000	206.336	
0.170000	182.999	
0.180000	163.442	
0.190000	146.892	
0.200000	132.763	
0.210000	120.604	
0.220000	110.065	
0.230000	100.872	
0.240000	92.8037	
0.250000	85.6849	
0.260000	79.3721	
0.270000	73.7482	
0.280000	68.7166	
0.290000	64.1969	
0.300000	60.1222	
0.310000	56.4359	
0.320000	53.0902	
0.330000	50.0446	
0.340000	47.2643	
0.350000	44.7193	
0.360000	42.3840	
0.370000	40.2360	
0.380000	38.2558	
0.390000	36.4265	
0.400000	34.7332	
0.410000	33.1627	
0.420000	31.7036	
0.430000	30.3456	
0.440000	29.0796	
0.450000	27.8975	
0.460000	26.7922	
0.470000	25.7572	
0.480000	24.7867	
0.490000	23.8755	
0.500000	23.0189	
