eff_size_f	sample_size
0.100000	821.610	
0.110000	679.699	
0.120000	571.764	
0.130000	487.767	
0.140000	421.118	
0.150000	367.350	
0.160000	323.345	
0.170000	286.876	
0.180000	256.315	
0.190000	230.453	
0.200000	208.372	
0.210000	189.371	
0.220000	172.902	
0.230000	158.535	
0.240000	145.928	
0.250000	134.803	
0.260000	124.938	
0.270000	116.149	
0.280000	108.286	
0.290000	101.222	
0.300000	94.8544	
0.310000	89.0935	
0.320000	83.8648	
0.330000	79.1050	
0.340000	74.7597	
0.350000	70.7823	
0.360000	67.1324	
0.370000	63.7751	
0.380000	60.6801	
0.390000	57.8208	
0.400000	55.1739	
0.410000	52.7191	
0.420000	50.4382	
0.430000	48.3152	
0.440000	46.3361	
0.450000	44.4880	
0.460000	42.7599	
0.470000	41.1416	
0.480000	39.6239	
0.490000	38.1989	
0.500000	36.8592	
