eff_size_f	sample_size
0.100000	1983.56	
0.110000	1640.27	
0.120000	1379.17	
0.130000	1175.97	
0.140000	1014.74	
0.150000	884.672	
0.160000	778.219	
0.170000	689.994	
0.180000	616.061	
0.190000	553.492	
0.200000	500.073	
0.210000	454.102	
0.220000	414.257	
0.230000	379.496	
0.240000	348.989	
0.250000	322.070	
0.260000	298.198	
0.270000	276.929	
0.280000	257.899	
0.290000	240.804	
0.300000	225.391	
0.310000	211.445	
0.320000	198.787	
0.330000	187.263	
0.340000	176.741	
0.350000	167.109	
0.360000	158.268	
0.370000	150.136	
0.380000	142.638	
0.390000	135.709	
0.400000	129.295	
0.410000	123.344	
0.420000	117.814	
0.430000	112.666	
0.440000	107.866	
0.450000	103.383	
0.460000	99.1892	
0.470000	95.2610	
0.480000	91.5765	
0.490000	88.1157	
0.500000	84.8612	
