eff_size_f	sample_size
0.100000	472.860	
0.110000	391.130	
0.120000	328.968	
0.130000	280.591	
0.140000	242.207	
0.150000	211.241	
0.160000	185.898	
0.170000	164.895	
0.180000	147.295	
0.190000	132.400	
0.200000	119.684	
0.210000	108.742	
0.220000	99.2577	
0.230000	90.9842	
0.240000	83.7237	
0.250000	77.3175	
0.260000	71.6368	
0.270000	66.5760	
0.280000	62.0483	
0.290000	57.9814	
0.300000	54.3150	
0.310000	50.9982	
0.320000	47.9880	
0.330000	45.2479	
0.340000	42.7465	
0.350000	40.4570	
0.360000	38.3562	
0.370000	36.4240	
0.380000	34.6429	
0.390000	32.9975	
0.400000	31.4746	
0.410000	30.0623	
0.420000	28.7502	
0.430000	27.5291	
0.440000	26.3909	
0.450000	25.3283	
0.460000	24.3347	
0.470000	23.4044	
0.480000	22.5322	
0.490000	21.7133	
0.500000	20.9437	
