eff_size_f	sample_size
0.100000	120.542	
0.110000	99.8288	
0.120000	84.0748	
0.130000	71.8147	
0.140000	62.0869	
0.150000	54.2393	
0.160000	47.8168	
0.170000	42.4943	
0.180000	38.0342	
0.190000	34.2598	
0.200000	31.0375	
0.210000	28.2648	
0.220000	25.8617	
0.230000	23.7654	
0.240000	21.9259	
0.250000	20.3029	
0.260000	18.8638	
0.270000	17.5818	
0.280000	16.4349	
0.290000	15.4048	
0.300000	14.4762	
0.310000	13.6362	
0.320000	12.8739	
0.330000	12.1801	
0.340000	11.5467	
0.350000	10.9671	
0.360000	10.4353	
0.370000	9.94620	
0.380000	9.49540	
0.390000	9.07899	
0.400000	8.69360	
0.410000	8.33624	
0.420000	8.00426	
0.430000	7.69533	
0.440000	7.40738	
0.450000	7.13857	
0.460000	6.88725	
0.470000	6.65194	
0.480000	6.43133	
0.490000	6.22422	
0.500000	6.02955	
