eff_size_f	sample_size
0.100000	162.081	
0.110000	134.213	
0.120000	113.017	
0.130000	96.5225	
0.140000	83.4347	
0.150000	72.8765	
0.160000	64.2357	
0.170000	57.0747	
0.180000	51.0741	
0.190000	45.9961	
0.200000	41.6609	
0.210000	37.9305	
0.220000	34.6974	
0.230000	31.8771	
0.240000	29.4022	
0.250000	27.2187	
0.260000	25.2825	
0.270000	23.5577	
0.280000	22.0147	
0.290000	20.6289	
0.300000	19.3796	
0.310000	18.2495	
0.320000	17.2240	
0.330000	16.2905	
0.340000	15.4385	
0.350000	14.6587	
0.360000	13.9432	
0.370000	13.2852	
0.380000	12.6787	
0.390000	12.1185	
0.400000	11.6000	
0.410000	11.1193	
0.420000	10.6726	
0.430000	10.2570	
0.440000	9.86960	
0.450000	9.50794	
0.460000	9.16980	
0.470000	8.85321	
0.480000	8.55638	
0.490000	8.27771	
0.500000	8.01577	
